,,mean,std,min,max,median,q1,q3
Random (Low),Syncopation::Midsync,0.059,0.098,0.0,0.667,0.0,0.0,0.1
Random (Low),Syncopation::Hisync,0.036,0.056,0.0,0.467,0.0,0.0,0.067
Random (Low),Micro-Timing::Swingness,0.004,0.008,0.0,0.068,0.0,0.0,0.0
Random (High) (GT),Statistical::Total Step Density,0.479,0.18,0.031,0.969,0.469,0.344,0.625
Random (High) (GT),Statistical::Avg Voice Density,0.065,0.028,0.003,0.16,0.062,0.045,0.083
Random (High) (GT),Statistical::Vel Similarity Score,0.795,0.299,0.0,1.0,0.913,0.822,0.957
Random (High) (GT),Statistical::Weak to Strong Ratio,1.834,2.176,0.0,91.4,1.422,0.675,2.363
Random (High) (GT),Syncopation::Lowsync,0.099,0.093,0.0,0.533,0.067,0.0,0.167
Random (High) (GT),Syncopation::Midsync,0.173,0.158,0.0,0.8,0.133,0.0,0.3
Random (High) (GT),Syncopation::Hisync,0.145,0.137,0.0,0.767,0.133,0.033,0.233
Random (High) (GT),Micro-Timing::Swingness,0.29,0.3,0.0,1.583,0.192,0.0,0.508
Random (High),Statistical::Total Step Density,0.419,0.202,0.0,1.0,0.406,0.25,0.562
Random (High),Statistical::Avg Voice Density,0.056,0.028,0.0,0.16,0.056,0.035,0.076
Random (High),Statistical::Vel Similarity Score,0.828,0.299,0.0,1.0,0.94,0.889,0.967
Random (High),Statistical::Weak to Strong Ratio,1.427,1.975,0.0,44.325,0.91,0.372,1.815
Random (High),Syncopation::Lowsync,0.058,0.074,0.0,0.467,0.033,0.0,0.1
Random (High),Syncopation::Midsync,0.145,0.176,0.0,0.833,0.067,0.0,0.267
Random (High),Syncopation::Hisync,0.119,0.123,0.0,0.733,0.1,0.0,0.2
Random (High),Micro-Timing::Swingness,0.011,0.02,0.0,0.153,0.0,0.0,0.014
