,Ground Truth,Ground Truth,ClosedHH (Symbolic),ClosedHH (Symbolic),ClosedHH (Symbolic),ClosedHH (Symbolic),ClosedHH,ClosedHH,ClosedHH,ClosedHH
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.249,0.22,0.318,0.242,0.043,0.842,0.298,0.227,0.043,0.841
Vel Similarity Score,0.431,0.408,0.033,0.037,0.115,0.67,0.023,0.017,0.147,0.659
Weak to Strong Ratio,4.279,15.069,1.248,1.675,0.049,0.595,1.387,1.688,0.044,0.606
Hisync,0.147,0.146,0.103,0.107,0.016,0.846,0.106,0.09,0.018,0.855
Swingness,0.263,0.316,0.005,0.008,0.093,0.585,0.0,0.001,0.087,0.582
