,,mean,std,min,max,median,q1,q3
ClosedHH (GT),Statistical::Total Step Density,0.363,0.22,0.031,1.0,0.281,0.219,0.469
ClosedHH (GT),Statistical::Avg Voice Density,0.04,0.024,0.003,0.111,0.031,0.024,0.052
ClosedHH (GT),Statistical::Lowness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Statistical::Midness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Statistical::Hiness,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ClosedHH (GT),Statistical::Vel Similarity Score,0.777,0.311,0.0,1.0,0.905,0.805,0.948
ClosedHH (GT),Statistical::Weak to Strong Ratio,2.566,6.749,0.0,97.409,0.658,0.0,1.844
ClosedHH (GT),Statistical::Poly Velocity Mean,0.525,0.167,0.134,1.0,0.493,0.413,0.614
ClosedHH (GT),Statistical::Poly Velocity std,0.158,0.101,0.0,0.432,0.154,0.067,0.239
ClosedHH (GT),Statistical::Poly Offset Mean,-0.083,0.127,-0.467,0.442,-0.088,-0.161,-0.001
ClosedHH (GT),Statistical::Poly Offset std,0.139,0.092,0.0,0.44,0.107,0.075,0.184
ClosedHH (GT),Syncopation::Combined,0.245,0.222,0.0,1.2,0.2,0.067,0.433
ClosedHH (GT),Syncopation::Polyphonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Hisync,0.187,0.168,0.0,0.933,0.167,0.033,0.333
ClosedHH (GT),Syncopation::Lowsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Midsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Hisyness,0.019,0.017,0.0,0.1,0.013,0.004,0.033
ClosedHH (GT),Syncopation::Complexity,0.474,0.254,0.031,1.3,0.479,0.252,0.617
ClosedHH (GT),Auto-Correlation::Skewness,2.129,1.0,0.092,5.388,1.973,1.573,2.485
ClosedHH (GT),Auto-Correlation::Max,3.782,2.963,0.018,18.266,3.193,1.624,5.099
ClosedHH (GT),Auto-Correlation::Centroid,8.186,2.233,0.0,11.312,8.925,7.863,9.453
ClosedHH (GT),Auto-Correlation::Harmonicity,0.247,0.292,0.001,1.0,0.117,0.039,0.322
ClosedHH (GT),Micro-Timing::Swingness,0.214,0.326,0.0,1.0,0.0,0.0,0.358
ClosedHH (GT),Micro-Timing::Laidbackness,0.101,0.224,-0.625,0.875,0.0,0.0,0.25
ClosedHH (GT),Micro-Timing::Accuracy,0.173,0.098,0.008,0.483,0.149,0.098,0.23
ClosedHH,Statistical::NoI,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ClosedHH,Statistical::Total Step Density,0.466,0.267,0.125,1.0,0.375,0.25,0.656
ClosedHH,Statistical::Avg Voice Density,0.052,0.03,0.014,0.111,0.042,0.028,0.073
ClosedHH,Statistical::Lowness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Statistical::Midness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Statistical::Hiness,1.0,0.0,1.0,1.0,1.0,1.0,1.0
